Calendar_Year,Calendar_Month,Date,Mode,Average_Daily_Ridership,Source,ObjectId,Agency
2019,1,Jan-19,Bus,459160,APC,1,SEPTA
2019,1,Jan-19,CCT,4294,Revenue,2,SEPTA
2019,1,Jan-19,Heavy Rail,296709,Revenue,3,SEPTA
2019,1,Jan-19,Regional Rail,122856,Revenue,4,SEPTA
2019,1,Jan-19,Trackless Trolley,16853,APC,5,SEPTA
2019,1,Jan-19,Trolley,82787,APC,6,SEPTA
2019,2,Feb-19,Bus,464674,APC,7,SEPTA
2019,2,Feb-19,CCT,4652,Revenue,8,SEPTA
2019,2,Feb-19,Heavy Rail,315858,Revenue,9,SEPTA
2019,2,Feb-19,Regional Rail,121161,Revenue,10,SEPTA
2019,2,Feb-19,Trackless Trolley,16812,APC,11,SEPTA
2019,2,Feb-19,Trolley,82787,APC,12,SEPTA
2019,3,Mar-19,Bus,478487,APC,13,SEPTA
2019,3,Mar-19,CCT,6027,Revenue,14,SEPTA
2019,3,Mar-19,Heavy Rail,308777,Revenue,15,SEPTA
2019,3,Mar-19,Regional Rail,118228,Revenue,16,SEPTA
2019,3,Mar-19,Trackless Trolley,18813,APC,17,SEPTA
2019,3,Mar-19,Trolley,82433,APC,18,SEPTA
2019,4,Apr-19,Bus,473732,APC,19,SEPTA
2019,4,Apr-19,CCT,4805,Revenue,20,SEPTA
2019,4,Apr-19,Heavy Rail,305491,Revenue,21,SEPTA
2019,4,Apr-19,Regional Rail,124045,Revenue,22,SEPTA
2019,4,Apr-19,Trackless Trolley,18934,APC,23,SEPTA
2019,4,Apr-19,Trolley,84864,APC,24,SEPTA
2019,5,May-19,Bus,480074,APC,25,SEPTA
2019,5,May-19,CCT,5655,Revenue,26,SEPTA
2019,5,May-19,Heavy Rail,303776,Revenue,27,SEPTA
2019,5,May-19,Regional Rail,119187,Revenue,28,SEPTA
2019,5,May-19,Trackless Trolley,19452,APC,29,SEPTA
2019,5,May-19,Trolley,83413,APC,30,SEPTA
2019,6,Jun-19,Bus,396720,APC,31,SEPTA
2019,6,Jun-19,CCT,4924,Revenue,32,SEPTA
2019,6,Jun-19,Heavy Rail,273813,Revenue,33,SEPTA
2019,6,Jun-19,Regional Rail,113745,Revenue,34,SEPTA
2019,6,Jun-19,Trackless Trolley,15639,APC,35,SEPTA
2019,6,Jun-19,Trolley,73295,APC,36,SEPTA
2019,7,Jul-19,Bus,401911,APC,37,SEPTA
2019,7,Jul-19,CCT,4314,Revenue,38,SEPTA
2019,7,Jul-19,Heavy Rail,263492,Revenue,39,SEPTA
2019,7,Jul-19,Regional Rail,115144,Revenue,40,SEPTA
2019,7,Jul-19,Trackless Trolley,15597,APC,41,SEPTA
2019,7,Jul-19,Trolley,71573,APC,42,SEPTA
2019,8,Aug-19,Bus,406865,APC,43,SEPTA
2019,8,Aug-19,CCT,5649,Revenue,44,SEPTA
2019,8,Aug-19,Heavy Rail,268150,Revenue,45,SEPTA
2019,8,Aug-19,Regional Rail,114436,Revenue,46,SEPTA
2019,8,Aug-19,Trackless Trolley,15313,APC,47,SEPTA
2019,8,Aug-19,Trolley,75874,APC,48,SEPTA
2019,9,Sep-19,Bus,501557,APC,49,SEPTA
2019,9,Sep-19,CCT,4933,Revenue,50,SEPTA
2019,9,Sep-19,Heavy Rail,321907,Revenue,51,SEPTA
2019,9,Sep-19,Regional Rail,138481,Revenue,52,SEPTA
2019,9,Sep-19,Trackless Trolley,19348,APC,53,SEPTA
2019,9,Sep-19,Trolley,80939,APC,54,SEPTA
2019,10,Oct-19,Bus,502857,APC,55,SEPTA
2019,10,Oct-19,CCT,4687,Revenue,56,SEPTA
2019,10,Oct-19,Heavy Rail,326562,Revenue,57,SEPTA
2019,10,Oct-19,Regional Rail,133614,Revenue,58,SEPTA
2019,10,Oct-19,Trackless Trolley,19793,APC,59,SEPTA
2019,10,Oct-19,Trolley,80063,APC,60,SEPTA
2019,11,Nov-19,Bus,490316,APC,61,SEPTA
2019,11,Nov-19,CCT,6145,Revenue,62,SEPTA
2019,11,Nov-19,Heavy Rail,322462,Revenue,63,SEPTA
2019,11,Nov-19,Regional Rail,130761,Revenue,64,SEPTA
2019,11,Nov-19,Trackless Trolley,18880,APC,65,SEPTA
2019,11,Nov-19,Trolley,80113,APC,66,SEPTA
2019,12,Dec-19,Bus,437027,APC,67,SEPTA
2019,12,Dec-19,CCT,4595,Revenue,68,SEPTA
2019,12,Dec-19,Heavy Rail,312677,Revenue,69,SEPTA
2019,12,Dec-19,Regional Rail,128363,Revenue,70,SEPTA
2019,12,Dec-19,Trackless Trolley,17282,APC,71,SEPTA
2019,12,Dec-19,Trolley,78034,APC,72,SEPTA
2020,1,Jan-20,Bus,493261,APC,73,SEPTA
2020,1,Jan-20,CCT,4414,Revenue,74,SEPTA
2020,1,Jan-20,Heavy Rail,311442,Revenue,75,SEPTA
2020,1,Jan-20,Regional Rail,129953,Revenue,76,SEPTA
2020,1,Jan-20,Trackless Trolley,18741,APC,77,SEPTA
2020,1,Jan-20,Trolley,79713,APC,78,SEPTA
2020,2,Feb-20,Bus,503967,APC,79,SEPTA
2020,2,Feb-20,CCT,5075,Revenue,80,SEPTA
2020,2,Feb-20,Heavy Rail,309414,Revenue,81,SEPTA
2020,2,Feb-20,Regional Rail,125397,Revenue,82,SEPTA
2020,2,Feb-20,Trackless Trolley,18226,APC,83,SEPTA
2020,2,Feb-20,Trolley,82076,APC,84,SEPTA
2020,3,Mar-20,Bus,414021,APC,85,SEPTA
2020,3,Mar-20,CCT,3885,Revenue,86,SEPTA
2020,3,Mar-20,Heavy Rail,191819,Revenue,87,SEPTA
2020,3,Mar-20,Regional Rail,60912,Revenue,88,SEPTA
2020,3,Mar-20,Trackless Trolley,14497,APC,89,SEPTA
2020,3,Mar-20,Trolley,58641,APC,90,SEPTA
2020,4,Apr-20,Bus,141411,APC,91,SEPTA
2020,4,Apr-20,CCT,694,Revenue,92,SEPTA
2020,4,Apr-20,Heavy Rail,44353,Revenue,93,SEPTA
2020,4,Apr-20,Regional Rail,5168,Revenue,94,SEPTA
2020,4,Apr-20,Trackless Trolley,4888,APC,95,SEPTA
2020,4,Apr-20,Trolley,14870,APC,96,SEPTA
2020,5,May-20,Bus,165838,APC,97,SEPTA
2020,5,May-20,CCT,973,Revenue,98,SEPTA
2020,5,May-20,Heavy Rail,52913,Revenue,99,SEPTA
2020,5,May-20,Regional Rail,2016,Revenue,100,SEPTA
2020,5,May-20,Trackless Trolley,6243,APC,101,SEPTA
2020,5,May-20,Trolley,20611,APC,102,SEPTA
2020,6,Jun-20,Bus,192334,APC,103,SEPTA
2020,6,Jun-20,CCT,1056,Revenue,104,SEPTA
2020,6,Jun-20,Heavy Rail,66216,Revenue,105,SEPTA
2020,6,Jun-20,Regional Rail,8516,Revenue,106,SEPTA
2020,6,Jun-20,Trackless Trolley,7677,APC,107,SEPTA
2020,6,Jun-20,Trolley,27991,APC,108,SEPTA
2020,7,Jul-20,Bus,203766,APC,109,SEPTA
2020,7,Jul-20,CCT,1076,Revenue,110,SEPTA
2020,7,Jul-20,Heavy Rail,86270,Revenue,111,SEPTA
2020,7,Jul-20,Regional Rail,17381,Revenue,112,SEPTA
2020,7,Jul-20,Trackless Trolley,7666,APC,113,SEPTA
2020,7,Jul-20,Trolley,31135,APC,114,SEPTA
2020,8,Aug-20,Bus,189252,Revenue_Estimate,115,SEPTA
2020,8,Aug-20,CCT,1611,Revenue,116,SEPTA
2020,8,Aug-20,Heavy Rail,87788,Revenue,117,SEPTA
2020,8,Aug-20,Regional Rail,18288,Revenue,118,SEPTA
2020,8,Aug-20,Trackless Trolley,7963,Revenue_Estimate,119,SEPTA
2020,8,Aug-20,Trolley,26191,Revenue_Estimate,120,SEPTA
2020,9,Sep-20,Bus,205693,Revenue_Estimate,121,SEPTA
2020,9,Sep-20,CCT,1471,Revenue,122,SEPTA
2020,9,Sep-20,Heavy Rail,96188,Revenue,123,SEPTA
2020,9,Sep-20,Regional Rail,23479,Revenue,124,SEPTA
2020,9,Sep-20,Trackless Trolley,7932,Revenue_Estimate,125,SEPTA
2020,9,Sep-20,Trolley,23834,Revenue_Estimate,126,SEPTA
2020,10,Oct-20,Bus,207445,Revenue_Estimate,127,SEPTA
2020,10,Oct-20,CCT,1588,Revenue,128,SEPTA
2020,10,Oct-20,Heavy Rail,97333,Revenue,129,SEPTA
2020,10,Oct-20,Regional Rail,22844,Revenue,130,SEPTA
2020,10,Oct-20,Trackless Trolley,8510,Revenue_Estimate,131,SEPTA
2020,10,Oct-20,Trolley,23686,Revenue_Estimate,132,SEPTA
2020,11,Nov-20,Bus,193063,Revenue_Estimate,133,SEPTA
2020,11,Nov-20,CCT,2004,Revenue,134,SEPTA
2020,11,Nov-20,Heavy Rail,88690,Revenue,135,SEPTA
2020,11,Nov-20,Regional Rail,23836,Revenue,136,SEPTA
2020,11,Nov-20,Trackless Trolley,7551,Revenue_Estimate,137,SEPTA
2020,11,Nov-20,Trolley,22903,Revenue_Estimate,138,SEPTA
2020,12,Dec-20,Bus,200729,Revenue_Estimate,139,SEPTA
2020,12,Dec-20,CCT,1314,Revenue,140,SEPTA
2020,12,Dec-20,Heavy Rail,92190,Revenue,141,SEPTA
2020,12,Dec-20,Regional Rail,23381,Revenue,142,SEPTA
2020,12,Dec-20,Trackless Trolley,7431,Revenue_Estimate,143,SEPTA
2020,12,Dec-20,Trolley,24671,Revenue_Estimate,144,SEPTA
2021,1,Jan-21,Bus,184766,APC,145,SEPTA
2021,1,Jan-21,CCT,1381,Revenue,146,SEPTA
2021,1,Jan-21,Heavy Rail,88543,Revenue,147,SEPTA
2021,1,Jan-21,Regional Rail,24283,Revenue,148,SEPTA
2021,1,Jan-21,Trackless Trolley,6573,Revenue_Estimate,149,SEPTA
2021,1,Jan-21,Trolley,24608,Revenue_Estimate,150,SEPTA
2021,2,Feb-21,Bus,184944,APC,151,SEPTA
2021,2,Feb-21,CCT,1399,Revenue,152,SEPTA
2021,2,Feb-21,Heavy Rail,84876,Revenue,153,SEPTA
2021,2,Feb-21,Regional Rail,15466,Revenue,154,SEPTA
2021,2,Feb-21,Trackless Trolley,5884,Revenue_Estimate,155,SEPTA
2021,2,Feb-21,Trolley,24824,Revenue_Estimate,156,SEPTA
2021,3,Mar-21,Bus,208266,APC,157,SEPTA
2021,3,Mar-21,CCT,2082,Revenue,158,SEPTA
2021,3,Mar-21,Heavy Rail,94351,Revenue,159,SEPTA
2021,3,Mar-21,Regional Rail,21225,Revenue,160,SEPTA
2021,3,Mar-21,Trackless Trolley,7336,Revenue_Estimate,161,SEPTA
2021,3,Mar-21,Trolley,25485,Revenue_Estimate,162,SEPTA
2021,4,Apr-21,Bus,209824,APC,163,SEPTA
2021,4,Apr-21,CCT,1833,Revenue,164,SEPTA
2021,4,Apr-21,Heavy Rail,104843,Revenue,165,SEPTA
2021,4,Apr-21,Regional Rail,21312,Revenue,166,SEPTA
2021,4,Apr-21,Trackless Trolley,8331,Revenue_Estimate,167,SEPTA
2021,4,Apr-21,Trolley,27140,Revenue_Estimate,168,SEPTA
2021,5,May-21,Bus,216243,APC,169,SEPTA
2021,5,May-21,CCT,3158,Revenue,170,SEPTA
2021,5,May-21,Heavy Rail,109747,Revenue,171,SEPTA
2021,5,May-21,Regional Rail,25380,Revenue,172,SEPTA
2021,5,May-21,Trackless Trolley,8752,Revenue_Estimate,173,SEPTA
2021,5,May-21,Trolley,28242,Revenue_Estimate,174,SEPTA
2021,6,Jun-21,Bus,222345,APC,175,SEPTA
2021,6,Jun-21,CCT,1564,Revenue,176,SEPTA
2021,6,Jun-21,Heavy Rail,112267,Revenue,177,SEPTA
2021,6,Jun-21,Regional Rail,28832,Revenue,178,SEPTA
2021,6,Jun-21,Trackless Trolley,8289,Revenue_Estimate,179,SEPTA
2021,6,Jun-21,Trolley,30826,Revenue_Estimate,180,SEPTA
2021,7,Jul-21,Bus,232352,APC,181,SEPTA
2021,7,Jul-21,CCT,1736,Revenue,182,SEPTA
2021,7,Jul-21,Heavy Rail,115614,Revenue,183,SEPTA
2021,7,Jul-21,Regional Rail,32582,Revenue,184,SEPTA
2021,7,Jul-21,Trackless Trolley,8578,Revenue_Estimate,185,SEPTA
2021,7,Jul-21,Trolley,28434,Revenue_Estimate,186,SEPTA
2021,8,Aug-21,Bus,238176,APC,187,SEPTA
2021,8,Aug-21,CCT,2478,Revenue,188,SEPTA
2021,8,Aug-21,Heavy Rail,115936,Revenue,189,SEPTA
2021,8,Aug-21,Regional Rail,33513,Revenue,190,SEPTA
2021,8,Aug-21,Trackless Trolley,8269,Revenue_Estimate,191,SEPTA
2021,8,Aug-21,Trolley,30921,Revenue_Estimate,192,SEPTA
2021,9,Sep-21,Bus,291653,APC,193,SEPTA
2021,9,Sep-21,CCT,2144,Revenue,194,SEPTA
2021,9,Sep-21,Heavy Rail,151160,Revenue,195,SEPTA
2021,9,Sep-21,Regional Rail,42560,Revenue,196,SEPTA
2021,9,Sep-21,Trackless Trolley,10835,Revenue_Estimate,197,SEPTA
2021,9,Sep-21,Trolley,37844,Revenue_Estimate,198,SEPTA
2021,10,Oct-21,Bus,302979,APC,199,SEPTA
2021,10,Oct-21,CCT,2236,Revenue,200,SEPTA
2021,10,Oct-21,Heavy Rail,157350,Revenue,201,SEPTA
2021,10,Oct-21,Regional Rail,53831,Revenue,202,SEPTA
2021,10,Oct-21,Trackless Trolley,11480,Revenue_Estimate,203,SEPTA
2021,10,Oct-21,Trolley,37036,Revenue_Estimate,204,SEPTA
2021,11,Nov-21,Bus,293035,APC,205,SEPTA
2021,11,Nov-21,CCT,2380,Revenue,206,SEPTA
2021,11,Nov-21,Heavy Rail,150727,Revenue,207,SEPTA
2021,11,Nov-21,Regional Rail,52291,Revenue,208,SEPTA
2021,11,Nov-21,Trackless Trolley,11139,Revenue_Estimate,209,SEPTA
2021,11,Nov-21,Trolley,35881,Revenue_Estimate,210,SEPTA
2021,12,Dec-21,Bus,272915,APC,211,SEPTA
2021,12,Dec-21,CCT,2351,Revenue,212,SEPTA
2021,12,Dec-21,Heavy Rail,142023,Revenue,213,SEPTA
2021,12,Dec-21,Regional Rail,47061,Revenue,214,SEPTA
2021,12,Dec-21,Trackless Trolley,9677,Revenue_Estimate,215,SEPTA
2021,12,Dec-21,Trolley,34169,Revenue_Estimate,216,SEPTA
2022,1,Jan-22,Bus,243951,APC,217,SEPTA
2022,1,Jan-22,CCT,2019,Revenue,218,SEPTA
2022,1,Jan-22,Heavy Rail,115382,Revenue,219,SEPTA
2022,1,Jan-22,Regional Rail,32407,Revenue,220,SEPTA
2022,1,Jan-22,Trackless Trolley,7753,Revenue_Estimate,221,SEPTA
2022,1,Jan-22,Trolley,30631,Revenue_Estimate,222,SEPTA
2022,2,Feb-22,Bus,292800,APC,223,SEPTA
2022,2,Feb-22,CCT,2309,Revenue,224,SEPTA
2022,2,Feb-22,Heavy Rail,142654,Revenue,225,SEPTA
2022,2,Feb-22,Regional Rail,48846,Revenue,226,SEPTA
2022,2,Feb-22,Trackless Trolley,9078,Revenue_Estimate,227,SEPTA
2022,2,Feb-22,Trolley,40565,Revenue_Estimate,228,SEPTA
2022,3,Mar-22,Bus,303607,APC,229,SEPTA
2022,3,Mar-22,CCT,2564,Revenue,230,SEPTA
2022,3,Mar-22,Heavy Rail,145909,Revenue,231,SEPTA
2022,3,Mar-22,Regional Rail,54994,Revenue,232,SEPTA
2022,3,Mar-22,Trackless Trolley,10722,Revenue_Estimate,233,SEPTA
2022,3,Mar-22,Trolley,38122,Revenue_Estimate,234,SEPTA
2022,4,Apr-22,Bus,297311,APC,235,SEPTA
2022,4,Apr-22,CCT,2677,Revenue,236,SEPTA
2022,4,Apr-22,Heavy Rail,143797,Revenue,237,SEPTA
2022,4,Apr-22,Regional Rail,54044,Revenue,238,SEPTA
2022,4,Apr-22,Trackless Trolley,10035,Revenue_Estimate,239,SEPTA
2022,4,Apr-22,Trolley,35922,Revenue_Estimate,240,SEPTA
2022,5,May-22,Bus,313650,APC,241,SEPTA
2022,5,May-22,CCT,2714,Revenue,242,SEPTA
2022,5,May-22,Heavy Rail,140826,Revenue,243,SEPTA
2022,5,May-22,Regional Rail,51962,Revenue,244,SEPTA
2022,5,May-22,Trackless Trolley,10504,Revenue_Estimate,245,SEPTA
2022,5,May-22,Trolley,38581,Revenue_Estimate,246,SEPTA
2022,6,Jun-22,Bus,262689,APC,247,SEPTA
2022,6,Jun-22,CCT,2631,Revenue,248,SEPTA
2022,6,Jun-22,Heavy Rail,130480,Revenue,249,SEPTA
2022,6,Jun-22,Regional Rail,55791,Revenue,250,SEPTA
2022,6,Jun-22,Trackless Trolley,9227,Revenue_Estimate,251,SEPTA
2022,6,Jun-22,Trolley,35000,Revenue_Estimate,252,SEPTA
2022,7,Jul-22,Bus,272936,APC,253,SEPTA
2022,7,Jul-22,CCT,2743,Revenue,254,SEPTA
2022,7,Jul-22,Heavy Rail,120182,Revenue,255,SEPTA
2022,7,Jul-22,Regional Rail,51583,Revenue,256,SEPTA
2022,7,Jul-22,Trackless Trolley,8734,Revenue_Estimate,257,SEPTA
2022,7,Jul-22,Trolley,34354,Revenue_Estimate,258,SEPTA
2022,8,Aug-22,Bus,272216,APC,259,SEPTA
2022,8,Aug-22,CCT,2742,Revenue,260,SEPTA
2022,8,Aug-22,Heavy Rail,128345,Revenue,261,SEPTA
2022,8,Aug-22,Regional Rail,53394,Revenue,262,SEPTA
2022,8,Aug-22,Trackless Trolley,8728,Revenue_Estimate,263,SEPTA
2022,8,Aug-22,Trolley,44765,Revenue_Estimate,264,SEPTA
2022,9,Sep-22,Bus,341880,APC,265,SEPTA
2022,9,Sep-22,CCT,2864,Revenue,266,SEPTA
2022,9,Sep-22,Heavy Rail,147378,Revenue,267,SEPTA
2022,9,Sep-22,Regional Rail,62122,Revenue,268,SEPTA
2022,9,Sep-22,Trackless Trolley,10641,Revenue_Estimate,269,SEPTA
2022,9,Sep-22,Trolley,39475,Revenue_Estimate,270,SEPTA
2022,10,Oct-22,Bus,340544,APC,271,SEPTA
2022,10,Oct-22,CCT,2857,Revenue,272,SEPTA
2022,10,Oct-22,Heavy Rail,156381,Revenue,273,SEPTA
2022,10,Oct-22,Regional Rail,63954,Revenue,274,SEPTA
2022,10,Oct-22,Trackless Trolley,11084,Revenue_Estimate,275,SEPTA
2022,10,Oct-22,Trolley,39046,Revenue_Estimate,276,SEPTA
2022,11,Nov-22,Bus,338481,APC,277,SEPTA
2022,11,Nov-22,CCT,2851,Revenue,278,SEPTA
2022,11,Nov-22,Heavy Rail,145873,Revenue,279,SEPTA
2022,11,Nov-22,Regional Rail,64215,Revenue,280,SEPTA
2022,11,Nov-22,Trackless Trolley,10195,Revenue_Estimate,281,SEPTA
2022,11,Nov-22,Trolley,40666,Revenue_Estimate,282,SEPTA
2022,12,Dec-22,Bus,299614,APC,283,SEPTA
2022,12,Dec-22,CCT,2869,Revenue,284,SEPTA
2022,12,Dec-22,Heavy Rail,136539,Revenue,285,SEPTA
2022,12,Dec-22,Regional Rail,60226,Revenue,286,SEPTA
2022,12,Dec-22,Trackless Trolley,9677,Revenue_Estimate,287,SEPTA
2022,12,Dec-22,Trolley,37275,Revenue_Estimate,288,SEPTA
2023,1,Jan-23,Bus,319605,APC,289,SEPTA
2023,1,Jan-23,CCT,2834,Revenue,290,SEPTA
2023,1,Jan-23,Heavy Rail,142909,Revenue,291,SEPTA
2023,1,Jan-23,Regional Rail,62311,Revenue,292,SEPTA
2023,1,Jan-23,Trackless Trolley,8931,Revenue_Estimate,293,SEPTA
2023,1,Jan-23,Trolley,39738,Revenue_Estimate,294,SEPTA
2023,2,Feb-23,Bus,342049,APC,295,SEPTA
2023,2,Feb-23,CCT,2882,Revenue,296,SEPTA
2023,2,Feb-23,Heavy Rail,144909,Revenue,297,SEPTA
2023,2,Feb-23,Regional Rail,64720,Revenue,298,SEPTA
2023,2,Feb-23,Trackless Trolley,8742,Revenue_Estimate,299,SEPTA
2023,2,Feb-23,Trolley,44706,Revenue_Estimate,300,SEPTA
2023,3,Mar-23,Bus,341407,APC,301,SEPTA
2023,3,Mar-23,CCT,2982,Revenue,302,SEPTA
2023,3,Mar-23,Heavy Rail,137699,Revenue,303,SEPTA
2023,3,Mar-23,Regional Rail,66514,Revenue,304,SEPTA
2023,3,Mar-23,Trackless Trolley,9594,Revenue_Estimate,305,SEPTA
2023,3,Mar-23,Trolley,39744,Revenue_Estimate,306,SEPTA
2023,4,Apr-23,Bus,336495,APC,307,SEPTA
2023,4,Apr-23,CCT,2952,Revenue,308,SEPTA
2023,4,Apr-23,Heavy Rail,138287,Revenue,309,SEPTA
2023,4,Apr-23,Regional Rail,66900,Revenue,310,SEPTA
2023,4,Apr-23,Trackless Trolley,9656,Revenue_Estimate,311,SEPTA
2023,4,Apr-23,Trolley,38427,Revenue_Estimate,312,SEPTA
2023,5,May-23,Bus,359462,APC,313,SEPTA
2023,5,May-23,CCT,2985,Revenue,314,SEPTA
2023,5,May-23,Heavy Rail,143856,Revenue,315,SEPTA
2023,5,May-23,Regional Rail,65979,Revenue,316,SEPTA
2023,5,May-23,Trackless Trolley,10310,Revenue_Estimate,317,SEPTA
2023,5,May-23,Trolley,47563,APC,318,SEPTA
2023,6,Jun-23,Bus,302745,APC,319,SEPTA
2023,6,Jun-23,CCT,2981,Revenue,320,SEPTA
2023,6,Jun-23,Heavy Rail,134429,Revenue,321,SEPTA
2023,6,Jun-23,Regional Rail,66067,Revenue,322,SEPTA
2023,6,Jun-23,Trackless Trolley,8757,Revenue_Estimate,323,SEPTA
2023,6,Jun-23,Trolley,43548,APC,324,SEPTA
2023,7,Jul-23,Bus,297469,APC,325,SEPTA
2023,7,Jul-23,CCT,2921,Revenue,326,SEPTA
2023,7,Jul-23,Heavy Rail,129900,Revenue,327,SEPTA
2023,7,Jul-23,Regional Rail,61204,Revenue,328,SEPTA
2023,7,Jul-23,Trackless Trolley,8734,Revenue_Estimate,329,SEPTA
2023,7,Jul-23,Trolley,40544,APC,330,SEPTA
2023,8,Aug-23,Bus,307127,APC,331,SEPTA
2023,8,Aug-23,CCT,2972,Revenue,332,SEPTA
2023,8,Aug-23,Heavy Rail,141078,Revenue,333,SEPTA
2023,8,Aug-23,Regional Rail,60123,Revenue,334,SEPTA
2023,8,Aug-23,Trackless Trolley,9034,Revenue_Estimate,335,SEPTA
2023,8,Aug-23,Trolley,44092,APC,336,SEPTA
2023,9,Sep-23,Bus,367249,APC,337,SEPTA
2023,9,Sep-23,CCT,3044,Revenue,338,SEPTA
2023,9,Sep-23,Heavy Rail,181826,Revenue,339,SEPTA
2023,9,Sep-23,Regional Rail,70733,Revenue,340,SEPTA
2023,9,Sep-23,Trackless Trolley,11027,Revenue_Estimate,341,SEPTA
2023,9,Sep-23,Trolley,50049,APC,342,SEPTA
2023,10,Oct-23,Bus,378441,APC,343,SEPTA
2023,10,Oct-23,CCT,3095,Revenue,344,SEPTA
2023,10,Oct-23,Heavy Rail,192092,Revenue,345,SEPTA
2023,10,Oct-23,Regional Rail,74307,Revenue,346,SEPTA
2023,10,Oct-23,Trackless Trolley,11875,Revenue_Estimate,347,SEPTA
2023,10,Oct-23,Trolley,52658,APC,348,SEPTA
2023,11,Nov-23,Bus,368386,APC,349,SEPTA
2023,11,Nov-23,CCT,3089,Revenue,350,SEPTA
2023,11,Nov-23,Heavy Rail,182370,Revenue,351,SEPTA
2023,11,Nov-23,Regional Rail,76946,Revenue,352,SEPTA
2023,11,Nov-23,Trackless Trolley,10384,Revenue_Estimate,353,SEPTA
2023,11,Nov-23,Trolley,49494,APC,354,SEPTA
2023,12,Dec-23,Bus,347255,APC,355,SEPTA
2023,12,Dec-23,CCT,3138,Revenue,356,SEPTA
2023,12,Dec-23,Heavy Rail,171378,Revenue,357,SEPTA
2023,12,Dec-23,Regional Rail,72460,Revenue,358,SEPTA
2023,12,Dec-23,Trackless Trolley,9159,Revenue_Estimate,359,SEPTA
2023,12,Dec-23,Trolley,48402,APC,360,SEPTA
2024,1,Jan-24,Bus,343510,APC,361,SEPTA
2024,1,Jan-24,CCT,2744,Revenue,362,SEPTA
2024,1,Jan-24,Heavy Rail,169013,Revenue,363,SEPTA
2024,1,Jan-24,Regional Rail,69804,Revenue,364,SEPTA
2024,1,Jan-24,Trackless Trolley,8426,Revenue_Estimate,365,SEPTA
2024,1,Jan-24,Trolley,53846,APC,366,SEPTA
2024,2,Feb-24,Bus,374784,APC,367,SEPTA
2024,2,Feb-24,CCT,3054,Revenue,368,SEPTA
2024,2,Feb-24,Regional Rail,77066,Revenue,369,SEPTA
2024,2,Feb-24,Heavy Rail,180105,Revenue,370,SEPTA
2024,2,Feb-24,Trolley,54088,APC,371,SEPTA
2024,2,Feb-24,Trackless Trolley,9206,Revenue_Estimate,372,SEPTA
2024,3,Mar-24,Bus,344983,APC,373,SEPTA
2024,3,Mar-24,CCT,3177,Revenue,374,SEPTA
2024,3,Mar-24,Regional Rail,78463,Revenue,375,SEPTA
